Age,Frac_1,Frac_2,Frac_3,Frac_4,Frac_5,Frac_6,Frac_7,Frac_8,Frac_9
5.196559e-02,4.157083e-04,1.379479e-02,6.608886e-02,1.490371e-01,2.631467e-01,3.165569e-01,1.909599e-01,0.000000e+00,0.000000e+00
5.199699e-02,4.169634e-04,1.382660e-02,6.619130e-02,1.491621e-01,2.632024e-01,3.164316e-01,1.907690e-01,0.000000e+00,0.000000e+00
5.202838e-02,4.182214e-04,1.385845e-02,6.629380e-02,1.492871e-01,2.632579e-01,3.163063e-01,1.905782e-01,0.000000e+00,0.000000e+00
5.205978e-02,4.194822e-04,1.389035e-02,6.639637e-02,1.494120e-01,2.633133e-01,3.161808e-01,1.903877e-01,0.000000e+00,0.000000e+00
5.209118e-02,4.207460e-04,1.392230e-02,6.649899e-02,1.495369e-01,2.633684e-01,3.160553e-01,1.901973e-01,0.000000e+00,0.000000e+00
5.212258e-02,4.220128e-04,1.395430e-02,6.660168e-02,1.496617e-01,2.634234e-01,3.159298e-01,1.900071e-01,0.000000e+00,0.000000e+00
5.215398e-02,4.232825e-04,1.398634e-02,6.670443e-02,1.497865e-01,2.634782e-01,3.158042e-01,1.898171e-01,0.000000e+00,0.000000e+00
5.218538e-02,4.245551e-04,1.401844e-02,6.680725e-02,1.499112e-01,2.635328e-01,3.156785e-01,1.896273e-01,0.000000e+00,0.000000e+00
5.221678e-02,4.258307e-04,1.405058e-02,6.691012e-02,1.500358e-01,2.635872e-01,3.155527e-01,1.894377e-01,0.000000e+00,0.000000e+00
5.224818e-02,4.271091e-04,1.408278e-02,6.701306e-02,1.501604e-01,2.636415e-01,3.154269e-01,1.892483e-01,0.000000e+00,0.000000e+00
5.227958e-02,4.283905e-04,1.411502e-02,6.711606e-02,1.502849e-01,2.636956e-01,3.153010e-01,1.890591e-01,0.000000e+00,0.000000e+00
5.231098e-02,4.296747e-04,1.414731e-02,6.721912e-02,1.504093e-01,2.637495e-01,3.151751e-01,1.888700e-01,0.000000e+00,0.000000e+00
